date | value
2008-01-01 | 1
2011-01-01 | 10
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2011-01-09 | 1000.0
2012-01-11 | -1
2012-01-11 | 1000.1
2012-01-11 | a
|
 |
2012-01-11 |
| 2
2001-42-42
45
2012-01-11 | 1
2012-01-11 | 2147483648
2023-01-11 | 1
0202-01-01 | 1
202-01-01 | 1
9999-01-01 | 1
------ | 1
00-20-12-12

    -  -  | 2
2020-12-   | 2
2020-12-   | 2
2011-01-03 | 1.2a
2011-01-03        | 2
2014914018490184128440-01-01 | 1
2147-01-01 | 1.
2147-01-01 | 1.f
